company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Huntington Bancshares,500,0.0,5655.0,1411.0,15664,Financials,Columbus,OH,yes,no,no,yes, ,Stephen D. Steinour,https://www.huntington.com,HBAN,8398.6
KBR,501,0.0,5639.0,202.0,28000,Engineering & Construction,Houston,TX,,no,no,yes, ,Stuart Bradie,https://www.kbr.com,KBR,4480
Sprouts Farmers Market,502,0.0,5634.8,149.6,30000,Food & Drug Stores,Phoenix,AZ,,no,no,yes, ,Jack L. Sinclair,https://www.sprouts.com,SFM,2478
LPL Financial Holdings,503,0.0,5624.9,559.9,4343,Financials,San Diego,CA,,no,no,yes, ,Dan H. Arnold,https://www.lpl.com,LPLA,4305.4
T. Rowe Price,504,0.0,5617.9,2131.3,7365,Financials,Baltimore,MD,,no,no,yes, ,William J. Stromberg,https://www.troweprice.com,TROW,36126
Yum Brands,505,0.0,5597.0,1294.0,34000,"Hotels, Restaurants & Leisure",Louisville,KY,,no,no,yes, ,David W. Gibbs,https://www.yum.com,YUM,33006
Chipotle Mexican Grill,506,0.0,5586.4,350.2,83000,"Hotels, Restaurants & Leisure",Newport Beach,CA,,no,no,yes, ,Brian R. Niccol,https://www.chipotle.com,CMG,41429
Patterson,507,0.0,5574.5,83.6,7800,Health Care,St. Paul,MN,,no,no,yes, ,Mark S. Walchirk,https://www.pattersoncompanies.com,PDCO,1464.9
RPM International,508,0.0,5564.6,266.6,14957,Chemicals,Medina,OH,,no,no,yes, ,Frank C. Sullivan,https://www.rpminc.com,RPM,7721.1
Equinix,509,0.0,5562.1,507.5,8378,Financials,Redwood City,CA,,no,no,yes, ,Charles J. Meyers,https://www.equinix.com,EQIX,64843
Navient,510,0.0,5529.0,597.0,5800,Financials,Wilmington,DE,,no,no,yes, ,John F. Remondi,https://www.navient.com,NAVI,1465.5
Chemours,511,0.0,5526.0,-52.0,7000,Chemicals,Wilmington,DE,,no,no,no, ,Mark P. Vergnano,https://www.chemours.com,CC,1455.9
ON Semiconductor,512,0.0,5517.9,211.7,34800,Technology,Phoenix,AZ,,no,no,yes, ,Hassane El-Khoury,https://www.onsemi.com,ON,5113.7
TransDigm Group,513,0.0,5517.2,889.8,18300,Aerospace & Defense,Cleveland,OH,,no,no,yes, ,Kevin M. Stein,https://www.transdigm.com,TDG,17190.3
Host Hotels & Resorts,514,0.0,5469.0,920.0,175,Financials,Bethesda,MD,,no,no,yes, ,James F. Risoleo,https://www.hosthotels.com,HST,7792.9
Select Medical Holdings,515,0.0,5453.9,148.4,42800,Health Care,Mechanicsburg,PA,,no,no,yes, ,David S. Chernow,https://www.selectmedicalholdings.com,SEM,2014.7
Par Pacific Holdings,516,0.0,5401.5,40.8,1408,Energy,Houston,TX,,no,no,yes, ,William C. Pate,https://www.parpacific.com,PARR,380.6
Sonoco Products,517,0.0,5374.2,291.8,23000,Materials,Hartsville,SC,,no,no,yes, ,R. Howard Coker,https://www.sonoco.com,SON,6187
Roper Technologies,518,0.0,5366.8,1767.9,16460,Technology,Sarasota,FL,,no,no,yes, ,L. Neil Hunn,https://www.ropertech.com,ROP,33086.1
Harley-Davidson,519,0.0,5361.8,423.6,5600,Transportation,Milwaukee,WI,,no,no,yes, ,Jochen Zeitz,https://www.harley-davidson.com,HOG,2892.7
Jefferies Financial Group,520,0.0,5358.7,964.7,4800,Financials,New York,NY,,no,no,yes, ,Richard B. Handler,https://www.jefferies.com,JEF,3788.1
Kelly Services,521,0.0,5355.6,112.4,7700,Business Services,Troy,MI,,no,no,yes, ,Peter W. Quigley,https://www.kellyservices.com,KELYA,496.4
Microchip Technology,522,0.0,5349.5,355.9,18286,Technology,Chandler,AZ,,no,no,yes, ,Ganesh Moorthy,https://www.microchip.com,MCHP,25937
McCormick,523,0.0,5347.4,702.7,12400,"Food, Beverages & Tobacco",Hunt Valley,MD,,no,no,yes, ,Lawrence E. Kurzius,https://www.mccormickcorporation.com,MKC,18767.4
MDU Resources Group,524,0.0,5336.9,335.5,13359,Energy,Bismarck,ND,,no,no,yes, ,David L. Goodin,https://www.mdu.com,MDU,4310.2
Fastenal,525,0.0,5333.7,790.9,21948,Wholesalers,Winona,MN,,no,no,yes, ,Daniel L. Florness,https://www.fastenal.com,FAST,27962
Big Lots,526,0.0,5323.2,242.5,22250,Retailing,Columbus,OH,,no,no,yes, ,Bruce K. Thorn,https://www.biglots.com,BIG,557
Penn National Gaming,527,0.0,5301.4,43.9,28300,"Hotels, Restaurants & Leisure",Wyomissing,PA,,no,no,yes, ,Jay A. Snowden,https://www.pngaming.com,PENN,1478.3
Western Union,528,0.0,5292.1,1058.3,11500,Business Services,Denver,CO,,no,no,yes, ,Hikmet Ersek,https://www.westernunion.com,WU,7489.9
Under Armour,529,0.0,5267.1,92.1,11700,Apparel,Baltimore,MD,,no,no,yes, ,Patrik Frisk,https://www.uabiz.com,UAA,3878.1
Xylem,530,0.0,5249.0,401.0,16300,Industrials,Rye Brook,NY,,no,no,yes, ,Patrick K. Decker,https://www.xylem.com,XYL,11737.9
Skechers U.S.A.,531,0.0,5242.5,346.6,8550,Apparel,Manhattan Beach,CA,,yes,no,yes, ,Robert Greenberg,https://www.skx.com,SKX,3724.9
Domtar,532,0.0,5220.0,84.0,10000,Materials,Fort Mill,SC,,no,no,yes, ,John D. Williams,https://www.domtar.com,UFS,1217.8
NiSource,533,0.0,5208.9,383.1,8363,Energy,Merrillville,IN,,no,no,yes, ,Joseph J. Hamrock,https://www.nisource.com,NI,9545.1
Marathon Oil,534,0.0,5190.0,480.0,2000,Energy,Houston,TX,,no,no,yes, ,Lee M. Tillman,https://www.marathonoil.com,MRO,2618.3
National General Holdings,535,0.0,5179.6,348.1,9200,Financials,New York,NY,,no,no,yes, ,Barry Karfunkel,https://www.nationalgeneral.com,,1881.9
Telephone & Data Systems,536,0.0,5176.0,121.0,9400,Telecommunications,Chicago,IL,,no,no,yes, ,LeRoy T. Carlson Jr.,https://www.tdsinc.com,TDS,1923.7
Agilent Technologies,537,0.0,5163.0,1071.0,16300,Technology,Santa Clara,CA,,no,no,yes, ,Michael R. McMullen,https://www.agilent.com,A,22177.2
Ametek,538,0.0,5158.6,861.3,18100,Technology,Berwyn,PA,,no,no,yes, ,David A. Zapico,https://www.ametek.com,AME,16506.3
Evergy,539,0.0,5147.8,669.9,4617,Energy,Kansas City,MO,,no,no,yes, ,David A. Campbell,https://www.evergyinc.com,EVRG,12477.6
International Flavors & Fragrances,540,0.0,5140.1,455.9,13668,Chemicals,New York,NY,,no,no,yes, ,Andreas Fibig,https://www.iff.com,IFF,10902.4
ADT,541,0.0,5125.7,-424.2,17500,Business Services,Boca Raton,FL,,no,no,no, ,James D. DeVries,https://www.adt.com,ADT,3282.7
Welltower,542,0.0,5121.3,1232.4,443,Financials,Toledo,OH,,no,no,yes, ,Shankh Mitra,https://www.welltower.com,WELL,18795.2
Windstream Holdings,543,0.0,5115.4,-3090.0,11945,Telecommunications,Little Rock,AR,,no,no,no, ,Anthony W. Thomas,https://www.windstream.com,WINMQ,2.2
Michaels,544,0.0,5072.0,272.6,28000,Retailing,Irving,TX,,no,no,yes, ,Ashley Buchanan,https://www.michaels.com,MIK,237.9
Kemper,545,0.0,5039.2,531.1,8900,Financials,Chicago,IL,,no,no,yes, ,Joseph Lacher Jr.,https://www.kemper.com,KMPR,4377
Hyatt Hotels,546,0.0,5020.0,766.0,55000,"Hotels, Restaurants & Leisure",Chicago,IL,,no,no,yes, ,Mark S. Hoplamazian,https://www.hyatt.com,H,7272
Alexion Pharmaceuticals,547,0.0,4991.1,2404.3,3082,Health Care,Boston,MA,,no,no,yes, ,Ludwig N. Hantson Ph.D.,https://www.alexion.com,ALXN,19942.4
Resideo Technologies,548,0.0,4988.0,36.0,13000,Materials,Austin,TX,,no,no,yes, ,Jay Geldmacher,https://www.resideo.com,REZI,595
CACI International,549,0.0,4986.3,265.6,22100,Technology,Arlington,VA,,no,no,yes, ,John S. Mengucci,https://www.caci.com,CACI,6300
Electronic Arts,550,0.0,4950.0,1019.0,9700,Media,Redwood City,CA,,no,no,yes, ,Andrew Wilson,https://www.ea.com,EA,42236
Vulcan Materials,551,0.0,4929.1,617.7,9173,Materials,Birmingham,AL,,no,no,yes, ,J. Thomas Hill,https://www.vulcanmaterials.com,VMC,14325.2
TreeHouse Foods,552,0.0,4926.9,-361.0,10800,"Food, Beverages & Tobacco",Oak Brook,IL,,no,no,no, ,Steven T. Oakland,https://www.treehousefoods.com,THS,2484
Global Payments,553,0.0,4911.9,430.6,24000,Business Services,Atlanta,GA,,no,no,yes, ,Jeffrey S. Sloan,https://www.globalpaymentsinc.com,GPN,43287.5
Hanover Insurance Group,554,0.0,4897.4,425.1,4300,Financials,Worcester,MA,,no,no,yes, ,John C. Roche,https://www.hanover.com,THG,3457.4
Camping World Holdings,555,0.0,4892.0,-60.6,11508,Retailing,Lincolnshire,IL,,no,no,no, ,Marcus A. Lemonis,https://www.campingworld.com,CWH,502.1
Cornerstone Building Brands,556,0.0,4889.7,-15.4,20100,Materials,Cary,NC,,no,no,no, ,James S. Metcalf,https://www.cornerstonebuildingbrands.com,CNR,574.9
Yellow,557,0.0,4871.2,-104.0,29000,Transportation,Overland Park,KS,,no,no,no, ,Darren D. Hawkins,https://www.yrcw.com,YELL,60.6
CME Group,558,0.0,4868.0,2116.5,4360,Financials,Chicago,IL,,no,no,yes, ,Terrence A. Duffy,https://www.cmegroup.com,CME,61984.7
Chewy,559,0.0,4846.7,-252.4,12000,Retailing,Dania Beach,FL,,no,no,no, ,Sumit Singh,https://www.chewy.com,CHWY,14943.5
Knight-Swift Transportation Holdings,560,0.0,4844.0,309.2,23700,Transportation,Phoenix,AZ,,no,no,yes, ,David Jackson,https://knight-swift.com,KNX,7031
Moody&#8217;s,561,0.0,4829.0,1422.0,11081,Business Services,New York,NY,,no,no,yes, ,Robert Fauber,https://www.moodys.com,MCO,39594.4
Coca-Cola Consolidated,562,0.0,4826.5,11.4,15850,"Food, Beverages & Tobacco",Charlotte,NC,,no,no,yes, ,J. Frank Harrison III,https://www.cokeconsolidated.com,COKE,2402
Carlisle,563,0.0,4811.6,472.8,14000,Materials,Scottsdale,AZ,,no,no,yes, ,D. Christian Koch,https://www.carlisle.com,CSL,6976.9
Sealed Air,564,0.0,4791.1,263.0,16500,Materials,Charlotte,NC,,no,no,yes, ,Edward L. Doheny II,https://www.sealedair.com,SEE,3821.9
A-Mark Precious Metals,565,0.0,4783.2,2.2,183,Materials,El Segundo,CA,,no,no,yes, ,Gregory N. Roberts,https://www.amark.com,AMRK,86.3
Watsco,566,0.0,4770.4,246.0,5800,Wholesalers,Miami,FL,,no,no,yes, ,Albert H. Nahmad,https://www.watsco.com,WSO,6049.8
Taylor Morrison Home,567,0.0,4762.1,254.7,2300,Engineering & Construction,Scottsdale,AZ,,no,yes,yes, ,Sheryl D. Palmer,https://www.taylormorrison.com,TMHC,1478.9
IAC/InterActiveCorp,568,0.0,4757.1,431.1,8700,Technology,New York,NY,,no,no,yes, ,Joseph M. Levin,https://www.iac.com,IAC,15191.5
Leggett & Platt,569,0.0,4752.5,333.8,22000,Household Products,Carthage,MO,,no,no,yes, ,Karl G. Glassman,https://www.leggett.com,LEG,5860
OneMain Holdings,570,0.0,4749.0,855.0,9700,Financials,Evansville,IN,,no,no,yes, ,Douglas H. Shulman,https://www.omf.com,OMF,2604
Schneider National,571,0.0,4747.0,147.0,15650,Transportation,Green Bay,WI,,no,no,yes, ,Mark B. Rourke,https://www.schneider.com,SNDR,3425.5
Martin Marietta Materials,572,0.0,4739.1,611.9,8846,Materials,Raleigh,NC,,no,no,yes, ,C. Howard Nye,https://www.martinmarietta.com,MLM,11769.9
NortonLifeLock,573,0.0,4731.0,31.0,11900,Technology,Tempe,AZ,,no,no,yes, ,Vincent Pilette,https://www.nortonlifelock.com,NLOK,11233.2
Hasbro,574,0.0,4720.2,520.5,5600,Household Products,Pawtucket,RI,,no,no,yes, ,Brian D. Goldner,https://www.hasbro.com,HAS,9793.5
Square,575,0.0,4713.5,375.4,3835,Business Services,San Francisco,CA,,yes,no,yes, ,Jack Dorsey,https://www.squareup.com,SQ,88370
Terex,576,0.0,4680.3,54.4,9500,Industrials,Westport,CT,,no,no,yes, ,John L. Garrison Jr.,https://www.terex.com,TEX,1015.3
Syneos Health,577,0.0,4675.8,131.3,24000,Health Care,Morrisville,NC,,no,no,yes, ,Alistair Macdonald,https://www.syneoshealth.com,SYNH,4109.4
FMC,578,0.0,4661.9,477.4,6400,Chemicals,Philadelphia,PA,,no,no,yes, ,Mark Douglas,https://www.fmc.com,FMC,13645
Boise Cascade,579,0.0,4643.4,80.9,6010,Wholesalers,Boise,ID,,no,no,yes, ,Nathan R. Jorgensen,https://www.bc.com,BCC,932.1
SS&C Technologies Holdings,580,0.0,4632.9,438.5,22800,Technology,Windsor,CT,,yes,no,yes, ,William C. Stone,https://www.ssctech.com,SSNC,11203.5
Continental Resources,581,0.0,4631.9,775.6,1260,Energy,Oklahoma City,OK,,no,no,yes, ,William B. Berry,https://www.clr.com,CLR,2789.4
Peabody Energy,582,0.0,4623.4,-211.3,6600,Energy,St. Louis,MO,,no,no,no, ,Glenn L. Kellow,https://www.peabodyenergy.com,BTU,281.6
Encompass Health,583,0.0,4605.0,358.7,35690,Health Care,Birmingham,AL,,no,no,yes, ,Mark J. Tarr,https://www.encompasshealth.com,EHC,8614
Greif,584,0.0,4595.0,171.0,17000,Materials,Delaware,OH,,no,no,yes, ,Peter G. Watson,https://www.greif.com,GEF,1698.1
Concho Resources,585,0.0,4592.0,-705.0,1453,Energy,Midland,TX,,no,no,no, ,Timothy A. Leach,https://www.conocophillips.com/concho/,,8428.9
Hubbell,586,0.0,4591.0,400.9,18800,Industrials,Shelton,CT,,no,no,yes, ,Gerben W. Bakker,https://www.hubbell.com,HUBB,6239.4
CF Industries Holdings,587,0.0,4590.0,493.1,2987,Chemicals,Deerfield,IL,,no,no,yes, ,W. Anthony Will,https://www.cfindustries.com,CF,5879.9
KLA,588,0.0,4568.9,1175.6,10020,Technology,Milpitas,CA,,no,no,yes, ,Richard P. Wallace,https://www.kla.com,KLAC,22534.4
Genesis Healthcare,589,0.0,4565.8,14.6,55000,Health Care,Kennett Square,PA,,no,no,yes, ,Robert H. Fish,https://www.genesishcc.com,GEN,138.9
Brunswick,590,0.0,4556.7,-131.0,12828,Transportation,Mettawa,IL,,no,no,no, ,David M. Foulkes,https://www.brunswick.com,BC,2806.8
KB Home,591,0.0,4552.7,268.8,2140,Engineering & Construction,Los Angeles,CA,,no,no,yes, ,Jeffrey T. Mezger,https://www.kbhome.com,KBH,1630.8
Globe Life,592,0.0,4527.5,760.8,3196,Financials,McKinney,TX,,no,no,yes, ,Gary L. Coleman/Larry M. Hutchison,https://www.globelifeinsurance.com,GL,7729.4
Mattel,593,0.0,4504.6,-213.5,24000,Household Products,El Segundo,CA,,no,no,no, ,Ynon Kreiz,https://www.mattel.com,MAT,3055.9
Ryerson Holding,594,0.0,4501.6,82.4,4500,Materials,Chicago,IL,,no,no,yes, ,Edward J. Lehner,https://www.ryerson.com,RYI,199.3
Silgan Holdings,595,0.0,4489.9,193.8,13220,Materials,Stamford,CT,,no,no,yes, ,Anthony J. Allott,https://www.silganholdings.com,SLGN,3214.8
Zebra Technologies,596,0.0,4485.0,544.0,8200,Industrials,Lincolnshire,IL,,no,no,yes, ,Anders Gustafsson,https://www.zebra.com,ZBRA,9916
Intuitive Surgical,597,0.0,4478.5,1379.3,7326,Health Care,Sunnyvale,CA,,no,no,yes, ,Gary Guthart,https://www.intuitive.com,ISRG,85902
Warner Music Group,598,0.0,4475.0,256.0,5400,Media,New York,NY,,no,no,yes, ,Stephen F. Cooper,https://www.wmg.com,WMG,19638
Conduent,599,0.0,4467.0,-1934.0,67000,Business Services,Florham Park,NJ,,no,no,no, ,Clifford A. Skelton,https://www.conduent.com,CNDT,519.1
Tutor Perini,600,0.0,4450.8,-387.7,9100,Engineering & Construction,Sylmar,CA,,no,no,no, ,Ronald N. Tutor,https://www.tutorperini.com,TPC,339.2
Juniper Networks,601,0.0,4445.4,345.0,9419,Technology,Sunnyvale,CA,,no,no,yes, ,Rami Rahim,https://www.juniper.net,JNPR,6326.3
Noble Energy,602,0.0,4438.0,-1512.0,2282,Energy,Houston,TX,,no,no,no, ,David L. Stover,https://www.nblenergy.com,,2929.6
Vertiv Holdings,603,0.0,4431.2,-140.8,19800,Industrials,Columbus,OH,,no,no,no, ,Robert J. Johnson,https://www.vertiv.com,VRT,2840.8
Tiffany,604,0.0,4424.0,541.1,14100,Retailing,New York,NY,,no,no,yes, ,Anthony Ledru,https://www.investor.tiffany.com,,15694.3
EQT,605,0.0,4416.5,-1221.7,647,Energy,Pittsburgh,PA,,no,no,no, ,Toby Z. Rice,https://www.eqt.com,EQT,1806.1
UFP Industries,606,0.0,4416.0,179.7,12000,Materials,Grand Rapids,MI,,no,no,yes, ,Matthew J. Missad,https://www.ufpi.com,UFPI,2296.8
Diebold Nixdorf,607,0.0,4408.7,-341.3,22000,Technology,North Canton,OH,,no,no,no, ,Gerrard B. Schmid,https://www.dieboldnixdorf.com,DBD,272.8
Antero Resources,608,0.0,4408.7,-340.1,547,Energy,Denver,CO,,yes,no,no, ,Paul M. Rady,https://www.anteroresources.com,AR,204.4
Meritor,609,0.0,4388.0,291.0,9100,Motor Vehicles & Parts,Troy,MI,,no,no,yes, ,Chris Villavarayan,https://www.meritor.com,MTOR,979.3
Broadridge Financial Solutions,610,0.0,4362.2,482.1,11000,Business Services,Lake Success,NY,,no,no,yes, ,Timothy C. Gokey,https://www.broadridge.com,BR,10886.7
Church & Dwight,611,0.0,4357.7,615.9,4800,Household Products,Ewing,NJ,,no,no,yes, ,Matthew T. Farrell,https://www.churchdwight.com,CHD,15773.9
Marriott Vacations Worldwide,612,0.0,4355.0,138.0,22000,"Hotels, Restaurants & Leisure",Orlando,FL,,no,no,yes, ,Stephen P. Weisz,https://www.marriottvacationsworldwide.com,VAC,2280.3
Edwards Lifesciences,613,0.0,4348.0,1046.9,13900,Health Care,Irvine,CA,,no,no,yes, ,Michael A. Mussallem,https://www.edwards.com,EW,39105.8
Colfax,614,0.0,4326.3,-527.6,15000,Industrials,Annapolis Junction,MD,,no,no,no, ,Matthew L. Trerotola,https://www.colfaxcorp.com,CFX,2339.3
Insperity,615,0.0,4314.8,151.1,3500,Business Services,Kingwood,TX,,yes,no,yes, ,Paul J. Sarvadi,https://www.insperity.com,NSP,1468.9
American Eagle Outfitters,616,0.0,4308.2,191.3,27000,Retailing,Pittsburgh,PA,,no,no,yes, ,Jay L. Schottenstein,https://www.aeo-inc.com,AEO,1329.3
Keysight Technologies,617,0.0,4303.0,621.0,13600,Technology,Santa Rosa,CA,,no,no,yes, ,Ronald S. Nersesian,https://www.keysight.com,KEYS,15681.2
JELD-WEN Holding,618,0.0,4289.8,63.0,23300,Materials,Charlotte,NC,,no,no,yes, ,Gary S. Michel,https://www.jeld-wen.com,JELD,980.3
Iron Mountain,619,0.0,4262.6,267.4,25000,Business Services,Boston,MA,,no,no,yes, ,William L. Meaney,https://www.ironmountain.com,IRM,6838.8
Nasdaq,620,0.0,4262.0,774.0,4361,Financials,New York,NY,,no,yes,yes, ,Adena T. Friedman,https://www.nasdaq.com,NDAQ,23370
Gartner,621,0.0,4245.3,233.3,16724,Technology,Stamford,CT,,no,no,yes, ,Eugene A. Hall,https://www.gartner.com,IT,14427
Sinclair Broadcast Group,622,0.0,4240.0,47.0,11800,Media,Hunt Valley,MD,,no,no,yes, ,Christopher S. Ripley,https://www.sbgi.net,SBGI,1472.5
Ingles Markets,623,0.0,4202.0,81.6,18630,Food & Drug Stores,Black Mountain,NC,,no,no,yes, ,James W. Lanning,https://www.ingles-markets.com,IMKTA,732.6
Monster Beverage,624,0.0,4200.8,1107.8,3092,"Food, Beverages & Tobacco",Corona,CA,,no,no,yes, ,Rodney C. Sacks/Hilton H. Schlosberg,https://www.monsterbevcorp.com,MNST,30205.8
Murphy Oil,625,0.0,4194.0,1149.7,822,Energy,El Dorado,AR,,no,no,yes, ,Roger W. Jenkins,https://www.murphyoilcorp.com,MUR,941.4
Vertex Pharmaceuticals,626,0.0,4162.8,1176.8,3000,Health Care,Boston,MA,,no,no,yes, ,Reshma Kewalramani,https://www.vrtx.com,VRTX,55963
First Republic Bank,627,0.0,4156.7,930.3,4812,Financials,San Francisco,CA,,yes,no,yes, ,James H. Herbert II,https://www.firstrepublic.com,FRC,14093.5
Bloomin&#8217; Brands,628,0.0,4139.4,130.6,94000,"Hotels, Restaurants & Leisure",Tampa,FL,,no,no,yes, ,David J. Deno,https://www.bloominbrands.com,BLMN,621.4
Spectrum Brands Holdings,629,0.0,4138.8,471.9,13000,Household Products,Middleton,WI,,no,no,yes, ,David M. Maura,https://www.spectrumbrands.com,SPB,1669.2
Quad/Graphics,630,0.0,4137.2,-156.3,19600,Media,Sussex,WI,,no,no,no, ,J. Joel Quadracci,https://www.quad.com,QUAD,136
Flowers Foods,631,0.0,4124.0,164.5,9700,"Food, Beverages & Tobacco",Thomasville,GA,,no,no,yes, ,A. Ryals McMullian,https://www.flowersfoods.com,FLO,4341.3
CUNA Mutual Group,632,0.0,4122.7,219.6,3600,Financials,Madison,WI,,no,no,yes, ,Robert N. Trunzo,https://www.cunamutual.com,,
Allegheny Technologies,633,0.0,4122.5,257.6,8100,Materials,Pittsburgh,PA,,no,no,yes, ,Robert S. Wetherbee,https://www.atimetals.com,ATI,1076.3
Old Dominion Freight Line,634,0.0,4109.1,615.5,20105,Transportation,Thomasville,NC,,no,no,yes, ,Greg C. Gantt,https://www.odfl.com,ODFL,15691.6
Landstar System,635,0.0,4089.6,227.7,1333,Transportation,Jacksonville,FL,,no,no,yes, ,James B. Gattoni,https://www.landstar.com,LSTR,3784.9
American National Group,636,0.0,4070.1,620.4,4640,Financials,Galveston,TX,,no,no,yes, ,James E. Pozzi,https://www.americannational.com,ANAT,2215
Snap-on,637,0.0,4067.7,693.5,12800,Industrials,Kenosha,WI,,no,no,yes, ,Nicholas T. Pinchuk,https://www.snapon.com,SNA,5951.1
Brookdale Senior Living,638,0.0,4057.1,-267.9,48400,Health Care,Brentwood,TN,,no,yes,no, ,Lucinda M. Baier,https://www.brookdale.com,BKD,574.9
Amkor Technology,639,0.0,4052.7,120.9,29650,Technology,Tempe,AZ,,no,no,yes, ,Geil Rutten,https://www.amkor.com,AMKR,1877.8
Wyndham Destinations,640,0.0,4043.0,507.0,22500,"Hotels, Restaurants & Leisure",Orlando,FL,,no,no,yes, ,Michael D. Brown,https://www.wyndhamdestinations.com,WYND,1894.5
PPD,641,0.0,4031.0,47.8,23000,Health Care,Wilmington,NC,,no,no,yes, ,David S. Simmons,https://www.ppdi.com,PPD,6208.2
Dentsply Sirona,642,0.0,4029.2,262.9,15200,Health Care,Charlotte,NC,,no,no,yes, ,Donald M. Casey Jr.,https://www.dentsplysirona.com,XRAY,8598.5
CNO Financial Group,643,0.0,4015.8,409.4,3300,Financials,Carmel,IN,,no,no,yes, ,Gary C. Bhojwani,https://www.cnoinc.com,CNO,1795.1
Urban Outfitters,644,0.0,3983.8,168.1,16800,Retailing,Philadelphia,PA,,yes,no,yes, ,Richard A. Hayne,https://www.urbn.com,URBN,1392.3
Sabre,645,0.0,3975.0,158.6,9250,Technology,Southlake,TX,,no,no,yes, ,Sean E. Menke,https://www.sabre.com,SABR,1623.4
Mercury General,646,0.0,3972.5,320.1,4500,Financials,Los Angeles,CA,,no,no,yes, ,Gabriel Tirador,https://www.mercuryinsurance.com,MCY,2254.2
Diamondback Energy,647,0.0,3964.0,240.0,712,Energy,Midland,TX,,no,no,yes, ,Travis D. Stice,https://www.diamondbackenergy.com,FANG,4147.1
Parsons,648,0.0,3954.8,120.5,15879,Aerospace & Defense,Centreville,VA,,no,no,yes, ,Charles L. Harrington,https://www.parsons.com,PSN,3217.4
Aaron's,649,0.0,3947.7,31.5,12100,Retailing,Atlanta,GA,,no,no,yes, ,John W. Robinson III,https://www.aarons.com,AAN,1520.4
Flowserve,650,0.0,3944.9,253.7,17000,Industrials,Irving,TX,,no,no,yes, ,R. Scott Rowe,https://www.flowserve.com,FLS,3127.2
Carvana,651,0.0,3939.9,-114.7,7324,Retailing,Tempe,AZ,,yes,no,no, ,Ernest C. Garcia,https://www.carvana.com,CVNA,8480
ASGN,652,0.0,3923.9,174.7,4300,Business Services,Calabasas,CA,,no,no,yes, ,Theodore S. Hanson,https://www.asgn.com,ASGN,1872
Sally Beauty Holdings,653,0.0,3876.4,271.6,30050,Retailing,Denton,TX,,no,no,yes, ,Christian A. Brickman,https://www.sallybeautyholdings.com,SBH,943.6
ScanSource,654,0.0,3873.1,57.6,2700,Wholesalers,Greenville,SC,,yes,no,yes, ,Michael L. Baur,https://www.scansource.com,SCSC,681
Ventas,655,0.0,3872.8,433.0,516,Financials,Chicago,IL,,no,yes,yes, ,Debra A. Cafaro,https://www.ventasreit.com,VTR,9992.7
Country Financial,656,0.0,3868.1,167.3,3839,Financials,Bloomington,IL,,no,no,yes, ,Jim Jacobs,https://www.countryfinancial.com,,
TriNet Group,657,0.0,3856.0,212.0,2900,Business Services,Dublin,CA,,no,no,yes, ,Burton M. Goldfield,https://www.trinet.com,TNET,2589.1
Spirit Airlines,658,0.0,3830.5,335.3,8938,Transportation,Miramar,FL,,no,no,yes, ,Edward M. Christie III,https://www.spirit.com,SAVE,2715
Comerica,659,0.0,3817.0,1198.0,7708,Financials,Dallas,TX,,no,no,yes, ,Curtis C. Farmer,https://www.comerica.com,CMA,4117.7
Lennox International,660,0.0,3807.2,408.7,11200,Industrials,Richardson,TX,,no,no,yes, ,Todd M. Bluedorn,https://www.lennoxinternational.com,LII,7016.9
Timken,661,0.0,3789.9,362.1,18829,Industrials,North Canton,OH,,no,no,yes, ,Richard G. Kyle,https://www.timken.com,TKR,2451.8
Paychex,662,0.0,3772.5,1034.4,15450,Business Services,Rochester,NY,,no,no,yes, ,Martin Mucci,https://www.paychex.com,PAYX,32212
Amerco,663,0.0,3768.7,370.9,21900,Transportation,Reno,NV,,no,no,yes, ,Edward J. Shoen,https://www.amerco.com,UHAL,5697
Worthington Industries,664,0.0,3759.6,153.5,12000,Materials,Columbus,OH,,no,no,yes, ,B. Andrew Rose,https://www.worthingtonindustries.com,WOR,1433.2
Lamb Weston Holdings,665,0.0,3756.5,478.6,7600,"Food, Beverages & Tobacco",Eagle,ID,,no,no,yes, ,Thomas P. Werner,https://www.lambweston.com,LW,8341.9
Laureate Education,666,0.0,3752.1,938.5,41000,Business Services,Baltimore,MD,,no,no,yes, ,Eilif Serck-Hanssen,https://www.laureate.net,LAUR,2203.3
Penn Mutual Life Insurance,667,0.0,3705.1,396.0,3318,Financials,Horsham,PA,,no,yes,yes, ,Eileen C. McDonnell,https://www.pennmutual.com,,
iHeartMedia,668,0.0,3683.5,,11400,Media,San Antonio,TX,,no,no,no, ,Robert W. Pittman,https://www.iheartmedia.com,IHRT,1073.8
Brink's,669,0.0,3683.2,29.0,64300,Business Services,Richmond,VA,,no,no,yes, ,Douglas A. Pertz,https://www.brinks.com,BCO,2625.2
Sentry Insurance Group,670,0.0,3680.8,324.3,4217,Financials,Stevens Point,WI,,no,no,yes, ,Peter G. McPartland,https://www.sentry.com,,
Acuity Brands,671,0.0,3672.7,330.4,12000,Industrials,Atlanta,GA,,no,no,yes, ,Neil M. Ashe,https://www.acuitybrands.com,AYI,3393.8
Hub Group,672,0.0,3668.1,107.2,5000,Transportation,Oak Brook,IL,,no,no,yes, ,David P. Yeager,https://www.hubgroup.com,HUBG,1557.3
